id_cuenta,id_cliente,tipo_cuenta,saldo_inicial,moneda,fecha_apertura
9979,1774,ca,2584.01,pyg,2024-07-23
8518,1194,ca,49493.08,usd,2024-12-18
10041,1987,ca,8855.28,pyg,2024-06-04
4431,1893,cc,,usd,2024-04-02
6647,443,ca,14001.65,pyg,2024-11-11
5967,1469,ca,1598.34,usd,2024-04-08
554,1312,cc,13208.52,usd,2024-01-02
3010,1560,ca,,usd,2024-08-21
6804,1378,ca,,usd,2024-03-04
463,490,ca,,pyg,2024-01-20
3365,959,cc,,usd,2024-07-06
8060,1282,ca,12486.53,pyg,2024-01-14
2793,560,ca,5859.45,usd,2024-10-01
1945,377,ca,,usd,2024-06-01
672,595,ca,15933.01,usd,2024-11-15
1627,1313,ca,15845.47,pyg,2024-06-10
5409,1810,cc,28054.96,usd,2024-04-02
7352,1806,cc,29911.33,pyg,2024-01-06
8771,250,ca,12987.06,pyg,2024-10-25
2238,1849,cc,43916.51,usd,2024-12-02
7333,1240,cc,,usd,2024-12-12
2393,1341,cc,34361.84,usd,2024-01-13
3827,1665,cc,15413.34,usd,2024-12-27
699,165,ca,29537.4,pyg,2024-08-16
433,1495,ca,,usd,2024-05-11
1961,1840,cc,,usd,2024-08-19
4085,1350,ca,24434.04,pyg,2024-04-24
3953,909,ca,42579.15,usd,2024-09-13
8234,540,cc,,usd,2024-08-07
8199,1381,cc,46074.83,usd,2024-08-17
3390,918,ca,42208.83,usd,2024-08-01
441,1804,cc,26338.59,usd,2024-11-05
1158,1392,ca,,usd,2024-06-24
3321,187,ca,6754.79,usd,2024-01-13
3138,1985,cc,,pyg,2024-07-05
9711,730,cc,49804.34,pyg,2024-02-16
881,1770,ca,7838.42,pyg,2024-04-06
1791,654,cc,39625.38,pyg,2024-10-12
2364,49,cc,,usd,2024-07-22
9564,428,cc,34503.57,pyg,2024-11-25
3839,1452,cc,,usd,2024-02-19
1423,959,cc,24319.88,usd,2024-03-25
3929,1380,cc,30073.22,pyg,2024-02-13
3604,1022,ca,34973.96,usd,2024-01-28
7511,1534,cc,,pyg,2024-01-08
3689,1771,cc,,usd,2024-08-17
6479,429,cc,,usd,2024-08-05
4497,1308,ca,,usd,2024-12-02
1170,685,cc,,pyg,2024-11-25
3468,1483,cc,39150.66,usd,2024-02-06
1542,552,cc,4283.89,usd,2024-05-09
7099,163,cc,25828.05,pyg,2024-03-17
721,405,cc,,pyg,2024-07-22
867,1003,cc,30088.2,usd,2024-07-13
10001,1105,cc,13019.6,usd,2024-11-10
1067,1291,cc,,usd,2024-07-22
1333,1171,ca,,pyg,2024-01-25
8975,1715,cc,37205.01,pyg,2024-03-23
594,299,ca,,usd,2024-08-17
7538,1161,ca,38790.87,usd,2024-09-15
8595,451,ca,,usd,2024-05-22
4902,1109,cc,,usd,2024-07-11
217,193,ca,,pyg,2024-05-10
9030,1711,cc,39199.47,pyg,2024-05-10
4533,186,ca,36235.17,usd,2024-02-12
1186,1402,cc,,pyg,2024-06-18
3859,1149,cc,,pyg,2024-02-26
6505,879,cc,,pyg,2024-07-21
5543,1855,ca,38906.49,usd,2024-01-15
7665,1272,cc,32722.4,pyg,2024-05-09
156,1655,cc,,usd,2024-03-22
3077,60,ca,11280.16,pyg,2024-02-10
10069,1284,cc,37159.09,pyg,2024-11-17
6958,874,cc,,usd,2024-12-07
3122,239,cc,9818.21,usd,2024-01-13
6319,297,ca,,pyg,2024-10-14
117,1833,cc,45624.67,usd,2024-02-06
9413,691,ca,8357.37,pyg,2024-10-13
780,1019,cc,18666.93,usd,2024-06-19
9067,1739,cc,41133.99,pyg,2024-07-08
4517,1083,ca,44540.4,usd,2024-01-13
8564,1651,ca,,pyg,2024-02-07
9011,2000,cc,,usd,2024-04-20
440,1664,cc,,usd,2024-11-28
4964,794,cc,,usd,2024-05-19
5828,1833,ca,,usd,2024-01-28
9836,1736,cc,19833.13,pyg,2024-12-21
8698,569,ca,19557.99,pyg,2024-12-07
7418,146,ca,31938.54,usd,2024-02-06
9360,1891,ca,20100.63,pyg,2024-11-28
3677,100,cc,4884.41,usd,2024-07-19
9269,894,cc,,pyg,2024-04-08
8809,882,cc,26660.88,usd,2024-05-28
1667,1209,ca,,pyg,2024-11-18
1345,1961,ca,40743.44,usd,2024-04-25
1064,1357,cc,,pyg,2024-08-24
9718,288,ca,35756.38,usd,2024-01-15
6556,1166,ca,,usd,2024-08-21
4405,1448,ca,,pyg,2024-03-09
5697,683,cc,33292.18,pyg,2024-05-21
7938,123,cc,,pyg,2024-10-12
6184,1776,cc,,pyg,2024-07-17
7758,1344,cc,49047.91,pyg,2024-07-23
4799,901,cc,,pyg,2024-05-18
6170,1573,ca,,pyg,2024-03-02
6028,709,cc,,pyg,2024-06-23
7462,331,cc,,usd,2024-09-13
4262,1611,ca,41895.34,usd,2024-01-04
6596,135,ca,29771.88,usd,2024-12-12
8095,139,cc,17960.53,usd,2024-09-10
2191,1086,ca,,usd,2024-12-12
2548,210,cc,,pyg,2024-12-06
2043,1704,cc,21932.34,pyg,2024-09-28
1162,568,ca,27884.22,pyg,2024-06-05
8072,52,cc,30120.78,pyg,2024-02-09
6251,979,cc,3969.37,usd,2024-01-12
7339,706,ca,,usd,2024-11-16
7297,1564,ca,28988.24,pyg,2024-11-07
10092,418,ca,31603.59,pyg,2024-04-22
5877,1454,ca,,usd,2024-10-26
7483,1279,ca,,usd,2024-03-03
9617,24,cc,,usd,2024-06-17
8993,517,cc,,usd,2024-09-02
671,1776,cc,44141.68,pyg,2024-11-02
1593,1528,ca,46978.62,pyg,2024-02-05
7058,613,cc,,pyg,2024-08-24
6655,503,cc,,pyg,2024-05-01
5275,1118,ca,5968.43,pyg,2024-05-24
6594,986,cc,,pyg,2024-04-19
2190,1248,ca,,usd,2024-02-26
2020,299,ca,12376.64,usd,2024-12-22
1079,915,ca,16144.13,pyg,2024-05-14
5866,1118,cc,31255.84,usd,2024-05-15
6167,874,cc,3065.64,pyg,2024-01-20
7558,68,ca,,pyg,2024-06-24
1060,157,ca,,pyg,2024-01-06
8615,855,ca,,pyg,2024-01-25
9248,1731,cc,,usd,2024-11-18
2727,1217,cc,46958.68,usd,2024-03-26
8258,1004,cc,,usd,2024-09-15
3028,105,cc,,usd,2024-11-15
10002,857,ca,4835.08,pyg,2024-06-06
6776,1127,ca,,usd,2024-07-02
5463,1549,ca,28302.73,usd,2024-08-24
3315,75,cc,11689.92,pyg,2024-08-18
6415,370,ca,,usd,2024-05-24
2852,1769,cc,,pyg,2024-08-19
1757,1849,ca,8305.65,pyg,2024-08-24
3111,849,ca,19647.77,pyg,2024-04-01
5325,387,ca,32052.98,usd,2024-02-15
5649,446,cc,33925.59,pyg,2024-04-19
7187,10,cc,,pyg,2024-12-19
3021,1264,ca,2167.74,usd,2024-01-26
10014,996,ca,,usd,2024-08-05
