id_transaccion,id_cuenta,fecha,monto,tipo,canal
6054,2126,2024-10-11,10156.38,credito,atm
5954,4700,2024-04-10,-10930.55,credito,cajero
10538,3737,2024-10-15,,debito,online
1085,359,2024-01-15,,debito,online
5812,625,2024-06-10,-43479.45,debito,atm
6293,3990,2024-10-06,5211.19,debito,app
6138,4606,2024-09-10,17938.36,debito,online
8109,3008,2024-03-10,,credito,online
4536,3407,2024-09-24,-3279.74,debito,online
7193,958,2024-12-11,,credito,atm
4884,864,2024-07-01,-11365.09,credito,app
3422,1870,2024-05-20,-3694.92,credito,online
7570,2504,2024-11-08,,debito,app
3691,3368,2024-04-02,-4793.16,debito,atm
1788,148,2024-03-25,,credito,online
2842,4448,2024-12-04,17751.56,debito,app
1051,3596,2024-01-18,-15635.14,credito,online
1881,3537,2024-05-07,,credito,cajero
7249,4096,2024-04-28,,debito,online
6949,2965,2024-02-07,11809.74,debito,app
10540,1789,2024-10-25,4286.39,debito,online
6061,3768,2024-03-20,,debito,app
10046,4535,2024-06-13,-6387.65,debito,app
3084,2188,2024-06-10,17004.55,credito,online
1888,4016,2024-04-22,24353.46,debito,app
5209,3128,2024-04-05,-48985.42,debito,online
5617,435,2024-09-12,-15126.11,debito,online
4142,235,2024-09-23,-32092.92,debito,app
3223,860,2024-11-22,,debito,online
6673,4276,2024-11-06,,debito,app
1651,130,2024-03-25,-7567.56,credito,app
6462,504,2024-03-16,9905.51,credito,atm
1860,685,2024-03-01,-42081.63,debito,atm
4099,1494,2024-08-19,18914.87,credito,atm
6567,697,2024-06-16,,credito,app
9353,4167,2024-04-05,2739.54,debito,cajero
3529,951,2024-11-17,33444.86,debito,app
6675,1544,2024-10-21,-12686.36,credito,cajero
2309,2368,2024-02-17,,credito,online
10424,3627,2024-07-06,-20307.21,debito,online
10968,790,2024-11-01,-13968.23,credito,cajero
1002,2845,2024-10-19,-398.69,debito,online
8352,1569,2024-05-18,5807.9,credito,online
3282,910,2024-07-18,-16603.08,credito,atm
5743,981,2024-04-09,9759.14,credito,cajero
9068,1169,2024-03-06,36348.7,credito,online
1019,2021,2024-03-06,-11525.65,credito,online
7228,4491,2024-08-01,,debito,online
5849,4212,2024-09-22,-19029.13,credito,app
5207,1463,2024-05-03,8989.02,credito,cajero
1823,157,2024-05-17,751.01,debito,cajero
8765,335,2024-12-05,,credito,app
3953,503,2024-11-19,3486.22,credito,atm
8306,4930,2024-01-01,-4089.29,debito,app
4902,3246,2024-01-19,,credito,cajero
2271,2422,2024-03-12,24166.32,credito,online
10154,4990,2024-10-21,-16283.72,debito,app
4178,3768,2024-11-26,4173.86,debito,online
7000,602,2024-01-25,,debito,cajero
8211,486,2024-06-18,,credito,online
7507,4427,2024-05-25,,credito,online
3244,2502,2024-04-09,12291.69,credito,cajero
2330,928,2024-03-04,,debito,atm
8864,665,2024-09-28,41772.99,credito,online
6828,1696,2024-01-03,-3666.37,credito,online
4722,1306,2024-09-14,46592.95,debito,online
2148,3939,2024-06-23,-31584.35,credito,app
3775,3508,2024-01-18,-1868.21,credito,cajero
8197,2057,2024-01-28,5790.01,debito,cajero
4434,1300,2024-09-20,-9912.08,credito,online
8290,4345,2024-01-25,,debito,online
9239,3664,2024-05-25,17625.42,credito,atm
8773,1286,2024-11-02,,debito,atm
5420,4062,2024-05-16,,debito,atm
9091,1536,2024-06-20,-17617.82,debito,app
9646,4634,2024-04-11,-7977.87,debito,atm
4573,1438,2024-02-04,,credito,atm
9709,4890,2024-06-24,-29093.69,debito,online
4373,2322,2024-01-23,-7013.21,debito,online
6798,4827,2024-04-03,,credito,online
6086,3653,2024-11-23,1158.66,debito,atm
6178,4311,2024-12-23,,debito,app
9587,3169,2024-12-05,4936.12,credito,app
1438,2107,2024-02-16,9585.52,credito,atm
10649,4799,2024-12-12,,credito,online
1815,2815,2024-01-24,14942.26,debito,online
3044,2784,2024-01-16,-15797.0,debito,app
4415,4310,2024-02-23,13419.73,credito,cajero
