id_cuenta,id_cliente,tipo_cuenta,saldo_inicial,moneda,fecha_apertura
9979,1774,CA,2584.01,PYG,23-07-2024
8518,1194,ca,49493.08,USD,18-12-2024
10041,1987,ca,"8855,28",pyg,2024/06/04
4431,1893,cc,abc,USD,2024-04-02
6647,443,ca,14001.65,PYG,11/11/2024
5967,1469,ca,"1598,34",USD,2024/04/08
554,1312,cc,"13208,52",usd,2024-01-02
3010,1560,CA,,usd,2024/08/21
6804,1378,CA,abc,usd,2024/03/04
463,490,ca,abc,pyg,20/01/2024
3365,959,cc,abc,USD,2024/07/06
8060,1282,CA,12486.53,pyg,2024/01/14
2793,560,ca,"5859,45",USD,2024/10/01
1945,377,CA,,usd,2024/06/01
672,595,ca,15933.01,USD,2024/11/15
1627,1313,CA,"15845,47",pyg,2024-06-10
5409,1810,cc,"28054,96",USD,2024-04-02
7352,1806,CC,29911.33,pyg,2024-01-06
8771,250,CA,"12987,06",PYG,25-10-2024
2238,1849,cc,43916.51,usd,02/12/2024
7333,1240,cc,abc,usd,2024/12/12
2393,1341,CC,34361.84,usd,2024-01-13
3827,1665,cc,15413.34,USD,27/12/2024
699,165,CA,29537.4,pyg,16/08/2024
433,1495,ca,,usd,11-05-2024
1961,1840,cc,abc,usd,2024-08-19
4085,1350,ca,"24434,04",PYG,2024-04-24
3953,909,ca,42579.15,USD,13/09/2024
8234,540,cc,abc,usd,07/08/2024
8199,1381,cc,"46074,83",usd,2024-08-17
3390,918,CA,"42208,83",usd,2024/08/01
441,1804,cc,26338.59,usd,05-11-2024
1158,1392,ca,abc,USD,24-06-2024
3321,187,ca,6754.79,USD,13-01-2024
3138,1985,CC,abc,PYG,2024/07/05
9711,730,cc,"49804,34",pyg,16/02/2024
881,1770,ca,"7838,42",pyg,06-04-2024
1791,654,cc,"39625,38",pyg,2024-10-12
2364,49,cc,,USD,22-07-2024
9564,428,CC,34503.57,pyg,2024-11-25
3839,1452,CC,abc,USD,2024-02-19
1423,959,cc,24319.88,usd,2024-03-25
3929,1380,cc,30073.22,pyg,13-02-2024
3604,1022,CA,34973.96,usd,28-01-2024
7511,1534,CC,,PYG,2024-01-08
3689,1771,CC,abc,usd,17/08/2024
6479,429,cc,,USD,05/08/2024
4497,1308,ca,abc,usd,02/12/2024
1170,685,cc,,PYG,2024/11/25
3468,1483,CC,"39150,66",usd,2024/02/06
1542,552,cc,4283.89,usd,2024/05/09
7099,163,CC,25828.05,PYG,2024-03-17
721,405,CC,abc,pyg,22-07-2024
867,1003,cc,"30088,20",USD,13-07-2024
10001,1105,CC,13019.6,USD,2024/11/10
1067,1291,cc,abc,USD,22-07-2024
1333,1171,ca,,pyg,2024/01/25
8975,1715,cc,"37205,01",PYG,2024-03-23
594,299,ca,,usd,2024/08/17
7538,1161,ca,38790.87,USD,2024/09/15
8595,451,ca,,USD,22/05/2024
4902,1109,CC,,USD,11-07-2024
217,193,ca,,pyg,2024/05/10
9030,1711,CC,39199.47,pyg,2024-05-10
4533,186,ca,"36235,17",USD,2024-02-12
1186,1402,CC,abc,PYG,2024/06/18
3859,1149,CC,abc,PYG,2024-02-26
6505,879,cc,abc,pyg,21/07/2024
5543,1855,ca,"38906,49",USD,2024/01/15
7665,1272,cc,"32722,40",PYG,2024-05-09
156,1655,cc,,USD,2024/03/22
3077,60,ca,11280.16,pyg,2024/02/10
10069,1284,cc,37159.09,pyg,2024/11/17
6958,874,cc,,USD,2024/12/07
3122,239,cc,9818.21,USD,2024/01/13
