id_transaccion,id_cuenta,fecha,monto,tipo,canal
6054,2126,11/10/2024,"10156,38",credito,ATM
5954,4700,2024-04-10,"-10930,55",credito,CAJERO
10538,3737,15/10/2024,abc,debito,ONLINE
1085,359,15-01-2024,abc,debito,ONLINE
5812,625,2024-06-10,-43479.45,DEBITO,ATM
6293,3990,2024/10/06,5211.19,DEBITO,app
6138,4606,10-09-2024,17938.36,debito,ONLINE
8109,3008,10-03-2024,abc,CREDITO,online
4536,3407,2024/09/24,-3279.74,debito,ONLINE
7193,958,2024/12/11,abc,CREDITO,ATM
4884,864,2024/07/01,-11365.09,credito,app
3422,1870,2024/05/20,"-3694,92",CREDITO,ONLINE
7570,2504,08-11-2024,abc,DEBITO,app
3691,3368,02-04-2024,"-4793,16",DEBITO,ATM
1788,148,2024/03/25,abc,CREDITO,online
2842,4448,04-12-2024,17751.56,debito,app
1051,3596,2024/01/18,"-15635,14",CREDITO,ONLINE
1881,3537,07/05/2024,abc,CREDITO,CAJERO
7249,4096,28-04-2024,abc,debito,ONLINE
6949,2965,2024/02/07,11809.74,DEBITO,app
10540,1789,2024/10/25,"4286,39",debito,online
6061,3768,2024-03-20,abc,debito,app
10046,4535,13-06-2024,"-6387,65",DEBITO,app
3084,2188,10/06/2024,"17004,55",credito,ONLINE
1888,4016,2024-04-22,24353.46,DEBITO,app
5209,3128,2024/04/05,-48985.42,DEBITO,online
5617,435,2024/09/12,"-15126,11",debito,online
4142,235,2024/09/23,-32092.92,debito,app
3223,860,2024-11-22,abc,debito,online
6673,4276,06/11/2024,abc,debito,app
1651,130,2024/03/25,"-7567,56",CREDITO,app
6462,504,16-03-2024,"9905,51",CREDITO,ATM
1860,685,2024-03-01,-42081.63,DEBITO,ATM
4099,1494,2024/08/19,"18914,87",credito,ATM
6567,697,16/06/2024,abc,CREDITO,app
9353,4167,2024/04/05,"2739,54",debito,CAJERO
3529,951,17-11-2024,33444.86,DEBITO,app
6675,1544,21/10/2024,-12686.36,credito,CAJERO
2309,2368,2024-02-17,abc,CREDITO,ONLINE
10424,3627,06-07-2024,-20307.21,debito,online
10968,790,01-11-2024,-13968.23,CREDITO,CAJERO
1002,2845,19/10/2024,"-398,69",DEBITO,ONLINE
8352,1569,2024-05-18,"5807,90",CREDITO,online
3282,910,18-07-2024,"-16603,08",CREDITO,ATM
5743,981,09/04/2024,9759.14,CREDITO,CAJERO
9068,1169,06-03-2024,36348.7,credito,online
1019,2021,06-03-2024,"-11525,65",credito,ONLINE
7228,4491,01/08/2024,abc,debito,online
5849,4212,2024-09-22,"-19029,13",credito,app
5207,1463,03-05-2024,"8989,02",CREDITO,CAJERO
1823,157,17/05/2024,"751,01",DEBITO,CAJERO
8765,335,05/12/2024,abc,credito,app
3953,503,19/11/2024,"3486,22",CREDITO,ATM
8306,4930,01-01-2024,"-4089,29",DEBITO,app
4902,3246,2024/01/19,abc,credito,CAJERO
2271,2422,2024/03/12,24166.32,CREDITO,ONLINE
10154,4990,21-10-2024,"-16283,72",DEBITO,app
4178,3768,26/11/2024,"4173,86",DEBITO,online
7000,602,2024/01/25,abc,DEBITO,CAJERO
8211,486,2024-06-18,abc,credito,online
7507,4427,25/05/2024,abc,CREDITO,ONLINE
3244,2502,2024/04/09,12291.69,CREDITO,CAJERO
2330,928,04-03-2024,abc,DEBITO,ATM
8864,665,2024-09-28,41772.99,CREDITO,online
6828,1696,2024-01-03,"-3666,37",credito,ONLINE
